feature,importance,horizon
revenue_14d,2270.3174,30
revenue_7d,1955.3842,30
week_of_year,1550.6881,30
revenue_30d,1318.8197,30
revenue_std_30,1303.5482,30
spend_lag1,1155.5613,30
budget_avg_30d,984.1399,30
spend_7d,828.47473,30
cpc_30d,716.69525,30
spend_std_30,672.29694,30
month,653.58075,30
ctr_30d,509.60712,30
campaign_age,500.90085,30
aov_30d,463.8649,30
cvr_30d,440.48596,30
cpm_30d,403.9027,30
spend_30d,378.85187,30
rpc_30d,357.0091,30
roas_std_30,350.46497,30
revenue_lag1,348.63928,30
budget_util_30d,301.3313,30
spend_14d,273.3609,30
campaign_efficiency,229.02411,30
revenue_trend,215.86375,30
spend_trend,204.0765,30
roas_14d,159.31075,30
camp_type_enc,144.6126,30
roas_30d,138.94467,30
roas_trend,90.641624,30
spend_lag7,70.77838,30
day_of_month,60.356216,30
roas_7d,37.954857,30
future_budget,28.088415,30
day_of_week,24.157454,30
roas_lag7,20.181894,30
revenue_lag7,14.311393,30
channel_enc,8.280566,30
quarter,6.958974,30
is_weekend,6.208779,30
is_holiday,0.0,30
revenue_14d,4208.651,60
revenue_std_30,3927.93,60
camp_type_enc,3780.3657,60
revenue_7d,3564.143,60
week_of_year,3239.7505,60
revenue_30d,2821.2363,60
budget_avg_30d,2694.6895,60
budget_util_30d,2161.5254,60
spend_30d,2084.6929,60
campaign_age,1826.7548,60
cpc_30d,1635.5433,60
ctr_30d,1512.238,60
cpm_30d,1412.4248,60
spend_std_30,1389.7504,60
month,1067.0557,60
aov_30d,1030.6125,60
rpc_30d,762.484,60
spend_lag1,588.5087,60
cvr_30d,537.45996,60
roas_std_30,495.7661,60
spend_14d,488.9876,60
future_budget,451.96573,60
roas_30d,417.70566,60
revenue_lag1,376.45236,60
campaign_efficiency,310.44974,60
spend_7d,291.83524,60
roas_trend,203.44606,60
spend_trend,197.64389,60
revenue_trend,151.24422,60
roas_14d,132.50124,60
spend_lag7,99.55147,60
roas_7d,81.28421,60
day_of_month,75.378716,60
channel_enc,68.23153,60
revenue_lag7,21.762922,60
day_of_week,12.609992,60
quarter,11.974322,60
roas_lag7,9.655562,60
is_weekend,1.314038,60
is_holiday,0.0,60
week_of_year,6156.6914,90
revenue_7d,6113.441,90
revenue_std_30,5156.7183,90
revenue_30d,5109.105,90
budget_avg_30d,5093.369,90
camp_type_enc,3528.5151,90
revenue_14d,3215.1216,90
spend_30d,3044.7104,90
campaign_age,2646.3818,90
cpc_30d,2512.901,90
spend_std_30,2115.5544,90
ctr_30d,1749.5309,90
cpm_30d,1732.2977,90
aov_30d,1731.8486,90
month,1698.9534,90
budget_util_30d,1517.3864,90
rpc_30d,1080.2861,90
roas_std_30,814.6118,90
campaign_efficiency,756.04987,90
roas_30d,549.31415,90
spend_14d,544.041,90
future_budget,537.58844,90
cvr_30d,507.71722,90
spend_lag1,346.19254,90
revenue_trend,279.3265,90
revenue_lag1,249.60686,90
spend_7d,241.8008,90
roas_trend,174.21318,90
spend_trend,152.19756,90
channel_enc,149.374,90
day_of_month,137.48248,90
roas_14d,130.14412,90
spend_lag7,93.172966,90
roas_7d,68.21353,90
roas_lag7,42.160435,90
day_of_week,27.611412,90
revenue_lag7,17.220823,90
quarter,4.8116617,90
is_weekend,0.62371284,90
is_holiday,0.0,90
