horizon,quantile,mae,rmse,mape,pinball_loss,coverage,interval_width
30,p10,7150.7612,14906.2593,1.4478772042845002e+19,944.0887,,
30,p50,6086.5957,11961.5444,2.6213081338936648e+19,3043.2979,,
30,p90,9471.2578,15510.0396,2.927480186308512e+19,2294.2462,,
30,overall,,,,,58.33,12681.6904296875
60,p10,13335.9322,27092.6599,9.66283373806476e+20,3377.0194,,
60,p50,14595.2152,27345.9949,2.1130285990673334e+21,7297.6076,,
60,p90,19565.285,33855.7541,3.243122686035625e+21,5026.1692,,
60,overall,,,,,40.93,20118.55078125
90,p10,19047.3679,35807.3862,2.3392942187530654e+21,6507.0446,,
90,p50,23048.0532,40531.852,5.353221293897829e+21,11524.0266,,
90,p90,31341.403,47982.7259,8.105208507928033e+21,6342.8497,,
90,overall,,,,,34.34,30861.23046875
